name,yearpublished,minplayers,maxplayers,rating,designer,publisher
Nascar Speedway Challenge,1997,2,4,2.71,(Uncredited),The Jones Group
Orl\u00e9ans,2014,2,4,8.082,Reiner Stockhausen,dlp games
\u0e1a\u0e49\u0e32\u0e19\u0e19\u0e35\u0e49\u0e02\u0e32\u0e22!,1997,3,6,7.22,Stefan Dorra,Albi
El Castillo del Terror,2017,2,4,6.851,Manu S\\u00e1nchez Montero,ATOMO GAMES
Battleship  The Tactical Combat Game,2008,2,2,5.098,(Uncredited),Hasbro
Goblin Slayer,2008,2,2,6.184,Rich Carlson,(Web published)
Drawing Dead,2017,2,4,6.024,John Fiorillo,(Self-Published)
The Perfect Heist,2013,3,6,5.987,Karl Tiedemann,Everwerks
Battleground Fantasy Warfare  Lizardmen,2007,2,2,7.36,Robert Dougherty,Your Move Games
Proving Grounds,2019,1,1,6.999,Kane Klenko,Renegade Game Studios
Objective  Schmidt,1990,2,2,7.307,Dean Essig,The Gamers
Mercanauts,0,2,6,4.75,(Uncredited),Ben Sanders Co.
Won Over,1983,2,4,5.283,Charles Phillips,Parker Brothers
Alchemicus  Noctis,2009,2,4,6.136,Andrzej Kozakowski,Ace of Brains
Take a Chance,2009,2,5,5.586,(Uncredited),Winning Moves Games (USA)
Welkin,2019,2,4,6.473,Fabien Tanguy,Ankama
Time  The Game,1979,2,4,4.658,Alan Charles,John N. Hansen Co.
Rallyman,2009,1,4,7.238,Jean-Christophe Bouvier,Rallyman
Greyhawk  Wars,1991,2,6,5.864,David \\Zeb\\ Cook,TSR
The Forever War,1983,2,4,5.541,James D. Griffin,Mayfair Games
Coup,1975,2,6,6.29,Wolfgang Kramer,ASS Altenburger Spielkarten
Sau-Bande!,2014,2,4,5.457,Resonym edition,Ravensburger Spieleverlag GmbH
Pirates on the High Seas,2006,2,2,6.753,Kinetic,Ravensburger Spieleverlag GmbH
Judge 'n' Jury,1995,2,4,4.825,(Uncredited),Winning Moves Games (USA)
Munchkin Harry Potter Deluxe,2018,3,6,6.841,Children\s Games,Steve Jackson Games
Hold Everything!,1996,2,6,5.145,Leonardo Dolfi,AMIGO
Tara Wolf in Valley of the Kings,2016,2,2,6.309,P. O. Barome,ALC Studio
Risk  Halo Legendary Edition,2012,2,5,6.464,Strategy Games,USAopoly
Hnefatafl,400,2,2,6.532,(Uncredited),(Public Domain)
Atlantis,2009,2,4,6.523,Leo Colovini,999 Games
Transylvania  Curses & Traitors,2015,3,6,5.928,Loren Cunningham,WIBAI Games
Throw 'n Go Jenga,1986,1,99,5.362,(Uncredited),danspil
Tilting at Windmills,2017,2,2,7.172,Csepi Bal\\u00e1zs,Cogitate Games
Victoria Cross II,2011,2,2,7.448,Grant Wylie,Worthington Games
VOC! Founding the Dutch East Indies Company,2002,3,5,6.037,Jeroen Doumen,Splotter Spellen
Grave Robbers II  Skippy's Revenge,2003,2,6,6.188,Stephen Tassie,spareChange productions
The Dresden Files Cooperative Card Game,2017,1,5,7.099,Eric B. Vogel,Evil Hat Productions
Race to the North Pole,2015,2,4,6.065,Jouni Jussila,Cosmic Games
Reconquista,2018,3,4,6.761,Marco Antonio del Campo,Edge Entertainment
Breakout  Normandy,1992,2,2,7.653,Don Greenwood,The Avalon Hill Game Co
Sky Traders,2012,2,5,6.155,Gioacchino Prestigiacomo,Dust Games
Schollen Rollen,2017,2,8,6.017,Reiner Knizia,AMIGO
Enigma,1988,2,6,4.695,Alexander Duncan,Drumond Park Ltd.
Zitadelle  Duel for Kursk,1992,2,2,6.434,Masahiro Yamazaki,3W (World Wide Wargames)
Seii Taishogun,2008,2,4,7.04,John Clowdus,Small Box Games
This Hallowed Ground,1989,2,2,5.096,(Uncredited),Xeno Games
Leverage,1977,2,2,6.171,Jack B. Slimp,Estrela
Paparazzi,2006,2,8,5.267,Bruno Cathala,Eclipse Editions
All is lost save Honour,2006,2,2,7.665,Nicola Contardi,Europa Simulazioni
Outburst II,1991,2,10,5.608,Brian Hersch,Hersch and Company
Theomachy  The Warrior Gods,2016,2,4,6.733,Tomasz Bylina,Fabryka Gier Historycznych
Maria,2009,2,3,7.955,Richard Siv\\u00e9l,Histogame
Clue   Limited Gift Edition,1997,3,6,6.655,Anthony E. Pratt,Parker Brothers
Real Action Stockcar Championship,1998,1,20,6.953,Nile Christian,Real Action Games
Kyoto Protocol,2015,2,7,6.658,Petri Savola,Roll D6 Games
Crude  The Oil Game,1974,2,4,6.73,James J. St. Laurent,St. Laurent Games
Ascension  Darkness Unleashed,2013,1,2,7.473,Justin Gary,Marabunta
New Rules for Classic Games,1992,0,0,7.491,R. Wayne Schmittberger,John Wiley &amp; Sons
Papayoo,2010,3,8,6.307,(Uncredited),Gigamic
Kalimambo,2011,3,7,6.117,Antonio Scrittore,999 Games
Mushrooms,1975,2,4,3.812,(Uncredited),Alexander
Felinia,2010,2,4,6.497,Michael Schacht,Matagot
Quicksand,2003,2,5,6.105,Stefano Cavan\\u00e8,Esdevium
Dairyman,2016,2,4,6.476,Chih-Fan Chen,Homosapiens Lab
East Wind Rain,1985,2,2,4.924,Mark McLaughlin,3W (World Wide Wargames)
Destination  Neptune,2014,2,4,6.263,Ian Brody,Griggling Games
Da Luigi,2015,2,4,6.38,R\\u00fcdiger Dorn,KOSMOS
Ur\u00e4us,1993,2,4,5.167,Horst Alexander Renz,Pharao-Brettspiele
Agora,2013,2,4,5.683,Harald Lieske,Spielworxx
\u30d0\u30b9\u30eb\u30fc\u30c8\u3092\u3064\u304f\u308d\u3046,2018,2,5,7.293,Saashi,Saashi & Saashi
Bezzerwizzer Entertainment,2010,2,4,6.403,Jesper B\\u00fclow,Bezzerwizzer ApS
Talisman (third edition),1994,2,8,6.329,Jervis Johnson,Games Workshop Ltd.
Miaui,2017,3,6,6.568,Bruno Faidutti,Superlude u00c9ditions
Shogun Triumphant,1993,2,2,6.492,Richard H. Berg,Kokusai-Tsushin Co.
The Dark Valley Deluxe Edition,2013,1,2,7.928,Ted Raicer,GMT Games
Rat Hot,2005,2,2,6.31,Michael Schacht,Queen Games
Operation Olympic,1974,1,2,6.356,Jim Dunnigan,Decision Games (I)
Khan Tsin,2006,2,3,6.517,Claude Leroy,Blue Orange (EU)
Blue Water Navy,2019,2,2,8.472,James Derek Harris,Compass Games
Chutes and Ladders,-200,2,6,2.829,(Uncredited),(Public Domain)
Operation Mercury  The Invasion of Crete,2017,2,2,8.423,Joe Chacon,Multi-Man Publishing
Three-Dragon Ante  Legendary Edition,2019,2,6,7.556,Rob Heinsoo,WizKids
Second Front,1994,2,2,7.284,John Astell,Games Research/Design (GR/D)
In Vino Morte,2016,3,8,6.923,Chris Anderson,Button Shy
Red Poppies Campaigns  The Battles for Ypres,2016,2,2,7.706,John Gorkowski,Compass Games
The Pirate's Flag,2018,3,6,7.4,Shannon Fyfe,CardLords
Golden Horn  Von Venedig nach Konstantinopel,2013,2,4,6.395,Leo Colovini,Giochi Uniti
Scene It? Friends,2005,2,12,5.582,(Uncredited),Mattel
Hunting Party,2011,2,5,5.759,Jeff Siadek,Gorilla Games
Star Fleet Battles  Captain's Edition Basic Set,1990,1,6,7.393,Stephen V. Cole,Amarillo Design Bureau
Advanced Squad Leader  Starter Kit Historical Module 1 \u2013 Decision at Elst,2014,2,2,8.489,Ken Dunn,Multi-Man Publishing
\u8457\u8272\u5feb\u624b,2017,2,5,6.416,Erwan Morin,Lifestyle Boardgames Ltd
Rockwell,2013,2,4,7.141,Bruno Cr\\u00e9peault,Sit Down!
Eiertanz,2003,2,4,6.409,Roberto Fraga,GoKids u73a9u6a02u5c0fu5b50
Riverboat,2017,2,4,7.514,Michael Kiesling,Lookout Games
Mission to Mars 2049,2016,2,4,5.954,Dagnis Skurbe,BlackNWhite Games Ltd.
Tumblin-Dice Medium,2008,2,6,7.25,Randy Nash,Ferti
Party Bugs,2018,2,6,6.387,Martino Chiacchiera,ABACUSSPIELE
Life of the Party  The Coffeehouse Murder,1985,8,8,5.0,Jamie Swise,Just Games (I)
Spice Merchant,2012,3,4,6.399,Gary Kim,Bombyx
Rok 1863,2013,2,4,6.617,Piotr Krzystek,Wydawnictwo Alter
Democrazy,2000,4,10,5.531,Bruno Faidutti,Descartes Editeur
Palabra,1990,2,6,6.296,Jim Kondrick,Kondrick
Attacktix Battle Figure Game  Transformers,2006,2,6,6.421,Brett M. Seymour,Hasbro
Golan,1975,2,2,6.195,Irad B. Hardy,Hobby Japan
Night of the Ill-Tempered Squirrel,2000,3,6,5.17,Tyler Sigman,Alien Menace
Skibe,2016,3,5,5.069,Arve D. F\\u00fchler,HUCH!
The Hobbit  An Unexpected Journey,2012,2,6,2.683,Party Games,Vivid Imaginations
GEM,2015,2,4,6.355,Chris Handy,Perplext
15,2011,2,6,5.846,Steffen Benndorf,G3
You Suck,2013,2,6,5.961,Ted Alspach,Bu00e9zier Games
Karibou Camp,2016,3,7,5.695,Lionel Borg,Gigamic
Smugglers,2016,2,4,5.688,Klaus Teuber,KOSMOS
Keywood,1995,2,5,6.73,Richard Breese,R&D Games
MOD X,2012,2,4,7.131,Joan Wilkinson,Cryptozoic Entertainment
La Bataille d'Espagnol  Talavera,1979,1,3,7.089,Monte Mattson,Clash of Arms Games
Vegas,1996,2,4,4.97,Reiner Knizia,Ravensburger Spieleverlag GmbH
London Cabbie Game,1971,2,6,5.773,Drakes,Intellect Games
Linwood,2009,2,6,5.396,Shem Phillips,Garphill Games
A Castle for All Seasons,2008,2,4,6.743,Inka Brand,eggertspiele
San Francisco Cable Car,2009,2,6,6.679,Dirk Henn,G3
Rise of Cthulhu,2015,2,2,6.554,Chuck D. Yager,(Self-Published)
Avalanche at Yeti Mountain,2016,1,5,5.87,Matt Wolfe,Green Couch Games
Bambuti,1999,2,2,5.948,Hartmut Kommerell,Adlung-Spiele
Zero!,2001,2,10,6.949,Dan Verssen,GMT Games
Rosetta,1974,1,4,4.333,Ute Labode,Ravensburger Spieleverlag GmbH
Harpoon 4,1997,2,8,7.322,Larry Bond,Clash of Arms Games
Armymals,2014,2,8,6.524,Sebastian Kozak,Titan Forge Games
Colorpop,2011,1,5,5.699,Lionel Borg,Gigamic
Breaking the Chains  War in the South China Sea,2014,2,2,6.976,John Gorkowski,Compass Games
Ufofarmer,2014,2,4,5.906,Helmut Ast,Granna
Nyet!,1997,2,5,6.806,Stefan Dorra,GoKids u73a9u6a02u5c0fu5b50
Trapture,2006,2,2,5.988,(Uncredited),Educational Insights
The Piggyback Brigade,2000,2,7,5.983,Alex Randolph,Devir
Spaceopoly,1997,2,6,6.357,(Uncredited),Valen Brost Game Co.
Hounds and Jackals  Game of the Pharaohs,-2000,2,2,4.537,(Uncredited),(Public Domain)
Twin Peaks,2014,1,6,7.66,Richard H. Berg,GMT Games
Kingdom Builder,2011,2,4,6.974,Donald X. Vaccarino,Queen Games
TREXO,2015,2,2,6.647,Jan \\u00c5ke Hansson,Egmont Polska
Ice Flow,2008,2,4,6.423,Dean Conrad,JKLM Games
Hyborian Gates,1995,2,2,3.849,(Uncredited),CARDZ
Santo Domingo,2017,2,6,6.712,Stefan Risthaus,Ediciones MasQueOca
Arboria,2017,2,4,6.317,Christophe Boelinger,Hemisphere Games
Whitehall Mystery,2017,2,4,7.671,Gabriele Mari,Edge Entertainment
An Evening of Murder  Winner Take All,1994,8,8,5.967,(Uncredited),Canada Games
Team Yankee,1987,2,2,5.957,Frank Chadwick,Game Designers Workshop
Pok\u00e9mon Master Trainer,1999,2,6,5.805,Koichi Ooyama,Estrela
Babble-On,1992,2,99,5.792,(Uncredited),Tyco
Jati,1965,2,4,5.381,Keith Havens,3M
Bloodborne  The Card Game,2016,3,5,6.967,Eric M. Lang,Asmodee
Med andra ord,2001,4,8,5.717,Kristina Fristr\\u00f6m,Amo Oy
Monster Crunch! The Breakfast Battle Game,2018,2,5,6.495,Forrest-Pruzan Creative,Big G Creative
Incan Gold,2005,3,8,6.824,Bruno Faidutti,Eagle-Gryphon Games
Disc Duelers,2013,2,21,6.724,D. Brad Talton,Level 99 Games
Devil's Run  Route 666,2016,2,6,8.08,Mark Rapson,Word Forge Games
Nature of the Beast  Farm vs. Forest,2005,2,4,6.452,Mark Anticole,Eye-Level Entertainment
Wizardology  The Game,2007,2,6,4.48,(Uncredited),Sababa Toys
Eight Epics Kanai Factory Limited Edition,2015,1,8,5.936,Seiji Kanai,Alderac Entertainment Group
Trippples,1972,2,4,5.809,William T. Powers,Aladdin
Kraftwagen  V6 Edition,2015,2,4,7.282,Matthias Cramer,ADC Blackfire Entertainment GmbH
Jump!,1998,2,5,5.16,Michael Kiesling,Editrice Giochi
Robots!,1980,2,4,6.193,William Ferguson,Task Force Games
Legends of Labyrinth,2016,2,4,5.972,Kamil Matuszak,Lets Play
Rommel's Panzers,1980,2,2,5.888,Roger Damon,Metagaming
Thrill,1996,2,6,5.81,J\\u00fcrgen P. Grunau,F.X. Schmid
Admiral On Deck,2001,1,2,6.6,Bruce Biskup,BoneGames
Dokmus,2016,2,4,7.127,Mikko Punakallio,Lautapelit.fi
Convert,2014,1,2,7.041,Ian Reed,Breaking Games
Think It Up!,2015,2,10,5.889,Nikolay Pegasov,ABACUSSPIELE
Castle Blast,2013,2,4,5.634,Party Games,IELLO
Berserker Halflings from the Dungeon of Dragons,2005,2,6,5.791,Stephen Tassie,Z-Man Games
Blend Off!,2016,2,4,6.335,Scot Eaton,Thunderworks Games
Abduction,1998,2,4,5.264,George Vasilakos,Eden Studios
Bugs on Rugs,2019,2,5,7.059,Peter C. Hayward,Kids Table BG
Wartime  The Battle of Valyance Vale,2017,2,2,7.372,Christopher Guild,WizKids
HeroQuest  Kellar's Keep,1991,2,5,7.136,Stephen Baker,Games Workshop Ltd.
Monopoly Junior  Disney Frozen,2014,2,3,4.206,Abstract Games,Hasbro
OlymPeak,2011,2,6,5.858,Sagit Ben-Yehuda,Piatnik
Underwater Cities,2018,1,4,8.097,Vladim\\u00edr Such\\u00fd,Delicious Games
Summit,1961,3,6,5.688,Olaf Helmer,Cameo Games
Flying Carpet,1987,3,6,5.836,Kurt Feyerabend,Berliner Spielkarten
Pantone  The Game,2018,2,20,6.379,Scott Rogers (II),Cryptozoic Entertainment
Bid It Right  The Price is Right Card Game,1964,2,4,5.536,(Uncredited),Milton Bradley
Sunset Blvd.,1992,2,6,5.637,Gunter Baars,Fun Connection
Diamoniak,2009,2,4,5.097,Gr\\u00e9gory Kirszbaum,Djeco
Septikon  Uranium Wars,2012,2,2,6.487,Konstantin Seleznev,Hobby World
Trax,1980,2,2,6.511,David L. Smith,(Self-Published)
Monikers  Something Something,2016,4,20,8.075,Alex Hague,Palm Court
La Patrie en Danger 1814,2014,1,3,7.794,Kevin Zucker,OSG (Operational Studies Group)
Monty Python and the Holy Grail CCG,1996,2,2,4.671,Brian Jelke,Kenzer and Company
In Extremis,2004,3,5,6.593,Roberto Fraga,Cocktail Games
Ukraine '43,2000,2,4,7.856,Tony Curtis,GMT Games
Oshi,2006,2,2,6.126,Tyler Bielman,Abysse Corp.
Dreams of Tomorrow,2019,1,6,6.466,Phillip Falcon Perry,Weird Giraffe Games
Z\u00fcrich 1799,1999,2,2,7.615,Fr\\u00e9d\\u00e9ric Bey,Vae Victis
Dark Venture,2019,1,4,7.821,Rob Lemon,Gilded Skull Games
Cockpit,1991,2,6,6.595,Manuel Meireles,Grow Jogos e Brinquedos
Wyprawa,2005,2,5,3.674,Krzysztof Schechtel,Imperium
Landlord!,1992,2,6,5.924,Friedemann Friese,2F-Spiele
Museum Heist,2017,2,4,6.131,Alex Randolph,FoxMind
Pyramid of the Sun,2017,2,5,5.33,Fr\\u00e9deric Moyersoen,Bureau De Juegos
Quick Quiz?,1978,1,99,5.5,(Uncredited),Selchow & Righter
Chocobo's Crystal Hunt,2016,3,5,5.203,Yoshihiro Oneda,Square Enix Co.
Spartacus Imperator,2011,1,2,7.668,Patrick Receveur,Hexasim
Ice Blocks,2000,2,2,5.286,(Uncredited),Gamewright
The Twilight Saga  New Moon \u2013 The Movie Board Game,2009,2,8,2.738,Brian David-Marshall,Cardinal
Realm of Heroes,2015,2,6,5.453,Scott DeMers,Mr. B Games
Goodnight Moon Game,1997,1,4,4.906,Martine Redman,Briarpatch
Unlock! Epic Adventures,2019,1,6,8.478,Cyril Demaegd,Space Cowboys
ApocalypZe Card Game,2014,2,4,6.033,Chris Hanson,9 Kingdoms Publications
Monopoly  Socialism,2019,2,4,4.796,Admin: Better Description Needed!,Hasbro
Nagaraja,2019,2,2,7.308,Bruno Cathala,Hurrican
Flash Duel Deluxe,2010,2,2,6.679,David Sirlin,Sirlin Games
Sink the Bismarck,2008,1,1,5.736,Felbrigg Herriot,(Web published)
Monopoly  1935 Commemorative Edition,1985,2,10,5.247,Charles Darrow,Parker Brothers
Squatter,1962,2,6,5.656,Robert C. Lloyd,(Self-Published)
Superfight  The Loot Crate Deck,2015,2,10,5.731,Jack Dire,Skybound Games
Worldbeater,1975,3,6,5.931,Drakes,Hexagames (I)
Earth Satellite Game,1956,2,4,7.0,(Uncredited),Saml. Gabriel Sons and Company
Formula D\u00e9 Circuits 7 & 8  Magny-Cours & Monza,1997,2,10,7.466,Laurent Lavaur,Descartes Editeur
Neverland's Legacy,2016,1,4,7.322,Josh Derksen,Jasco Games
Crosstrack Challenge,1994,2,4,5.325,Philip Shoptaugh,Discovery Toys
Trimatics,1974,1,6,5.707,Heinz Wittenberg,u00c9veil & Jeux
Sum-Up,1969,2,4,4.841,Frederick A. Herschler,3M
Fieber,2017,2,5,6.118,Tom Schoeps,moses. Verlag GmbH
Celebrities,0,4,30,7.213,(Uncredited),(Public Domain)
Railroad Revolution,2016,2,4,7.38,Marco Canetta,Whats Your Game?
Skyscrapers,2010,2,4,4.93,Christophe Boelinger,Sirius Products
Vem a\u00ed a Troika,2012,2,4,6.001,Carlos Mesquita,Devir
Chicago Gangsters,2009,3,5,5.536,J\\u00fcrgen Kiedaisch,KOSMOS
Super Giant Monster Showdown  Cybernetic Attachments,2000,2,6,6.61,Alex Strang,Cybergecko
Dollars & Sense,1980,2,6,6.0,J. David Ford,Better Games
James Clavell's Noble House,1981,2,5,6.408,L. Ross Babcock,FASA
Timeline  Classic,2018,2,6,6.794,Fr\\u00e9d\\u00e9ric Henry,ADC Blackfire Entertainment
AK47 Republic,1997,2,6,7.346,The RFCM Team,Peter Pig
Morpheus,2016,2,4,6.55,Krzysztof Matusik,Tailor Games
Risky Strategy,1991,2,6,5.212,(Uncredited),Golden
Azteca,2000,2,4,5.976,Pascal Bernard,Clash of Arms Games
Hail Caesar,2011,2,8,7.459,Rick Priestley,Warlord Games
My Haunted Castle,1989,2,4,5.685,Virginia Charves,AS Company
Les Rois Francs,2011,2,2,6.888,Florent Coupeau,Vae Victis
Soulaween,2019,2,2,7.234,Shi Chen,Play With Us Design (u73a9u805au8a2du8a08)
Pikemen,1997,2,4,6.97,Jacob Davenport,(Web published)
Jericho,2006,3,5,6.094,Thomas Lehmann,ABACUSSPIELE
ScrumBrawl,2011,2,4,6.507,Tim Bugher,VicTim Games
Bioscopy,2000,3,4,5.778,(Uncredited),Wegman Entertainment
VITA MORS,2017,3,6,6.582,Shi Chen,Play With Us Design (u73a9u805au8a2du8a08)
Ambush Alley,2007,1,2,7.845,Shawn Carpenter,Ambush Alley Games
Seven7s,2015,2,4,6.259,Jason Tagmire,Eagle-Gryphon Games
Day of the Dead,2012,2,2,6.45,Evan Raisner,(Self-Published)
Trails of Tucana,2019,1,8,7.417,Eilif Svensson,Aporta Games
PAC-MAN Card Game,1982,2,4,4.931,(Uncredited),Milton Bradley
Train Raider,2000,2,5,5.479,Keiji Kariya,Yanoman Corporation
Battle of the Sexes Card Game,2001,2,12,3.346,(Uncredited),Spin Master Ltd.
Golem Arcana,2014,2,8,6.613,Seth Johnson,Harebrained Schemes
Lux Aeterna,2019,1,1,7.128,Tony Boydell,Frosted Games
Gefangen in der Geisterbahn,2005,3,5,3.903,Lutz Stepponat,Pegasus Spiele
Tomahawk,2006,2,2,6.041,Bruno Cathala,Matagot
Give Me Liberty,1992,1,2,5.909,Robert G. Markham,3W (World Wide Wargames)
Spycraft  Collectible Card Game,2004,2,6,5.965,Michael Mullins,Alderac Entertainment Group
Trivial Pursuit  Doctor Who,2013,2,6,5.659,(Uncredited),USAopoly
Hotel Tycoon,1974,2,4,5.468,Denys Fisher,AS Company
Ancients I,1992,1,2,6.244,William L. Banks,3W (World Wide Wargames)
Build Up,2014,2,6,7.513,Raymond Naseath,(Self-Published)
TPOC  The Politics of Cannibals,2008,3,5,6.116,Jamie Slaughter,Stractical Concepts
Legends of Wrestling,2002,1,2,7.663,Tom Filsinger,Filsinger Games
The Rifleman Game,1959,2,2,6.4,(Uncredited),Milton Bradley
Carcassonne  Gold Rush,2014,2,5,7.182,Klaus-J\\u00fcrgen Wrede,999 Games
BattleBots  Kickbot Arena,2001,2,2,4.302,(Uncredited),Milton Bradley
KOI,2018,1,4,6.503,Bill Lasek,Smirk & Laughter Games
RoboTroc,2012,2,4,5.967,Cesare Mainardi,Flick Game Studio
Imperial 2030,2009,2,6,7.69,Mac Gerdts,PD-Verlag
Star Realms,2014,2,2,7.6,Robert Dougherty,White Wizard Games
Dino World,2017,2,4,6.354,Flaminia Brasini,HABA
Shikoku,2018,3,8,6.625,Eloi Pujadas,GDM Games
Engage,2011,2,2,7.073,Russ Price,Table Tactics
Storm Over Scandinavia,1998,1,4,7.328,John Astell,Games Research/Design (GR/D)
Power Play  Schemes & Skulduggery,2014,4,8,7.105,John Parmalee,Level 99 Games
Homeworlds,2001,2,6,7.476,John Cooper,(Web published)
Los Aprendices,2015,2,4,5.834,Alberto Coraz\\u00f3n Arambarri,Zacatrus
Personally Incorrect,2013,5,10,5.715,Animals: Pigs,Lion Rampant Imports
Mille Bornes,1954,2,6,5.69,Edmond Dujardin,AS Manufacturas
Gimme Gimme Guinea Pigs,2017,2,6,5.385,Bryan Takenaka,Flying Meeple
Lusitania,2017,2,4,7.621,Jo\\u00e3o Martins,Burley Games
Dungeon Command  Curse of Undeath,2012,2,2,7.494,Chris Dupuis,Wizards of the Coast
The Extraordinary Adventures of Baron Munchausen,1998,3,20,7.291,James Wallis,Devir
Blindside,2011,2,2,5.975,James D. Muntz,Talicor
The Keep,1983,3,6,5.833,Darwin Bromley,Mayfair Games
Deckscape  Heist in Venice,2018,1,6,6.93,Martino Chiacchiera,dV Giochi
Change!,1999,2,8,5.284,James Ernest,Cheapass Games
UNO Moo!,2008,2,4,5.275,Tyler Kenney,Mattel
BANG!,2002,4,7,6.517,Emiliano Sciarra,dV Giochi
Shell Shock!,1990,2,4,6.351,Joseph Reiser,Victory Games (I)
Founding Fathers,2010,3,5,6.988,Christian Leonhard,Jolly Roger Games
Maki Stack,2018,2,6,6.248,Jeff Lai,Blue Orange Games
Teenage Mutant Ninja Turtles,2010,2,2,7.596,Mark Chaplin,(Self-Published)
UNO Dominos,1986,2,6,4.871,(Uncredited),AMIGO
\Tarleton's Quarter!\ The Revolutionary War in the South,2010,2,2,7.125,Mike Joslyn,Against the Odds
Yogi,2017,3,12,6.61,Behrooz Shahriari,999 Games
Natives,2017,2,4,6.996,Alexey Konnov,Cosmodrome Games
The Walking Dead  The Board Game,2011,1,6,5.73,Brian David-Marshall,Z-Man Games
This War of Mine  The Board Game,2017,1,6,7.887,Micha\\u0142 Oracz,Awaken Realms
AquaSphere,2014,2,4,7.288,Stefan Feld,Hall Games
Machiavelli,1977,4,8,7.105,S. Craig Taylor,The Avalon Hill Game Co
Imperial Stars II,2014,2,2,7.286,Chris Taylor (I),Victory Point Games
Imperialism  Road to Domination,2014,2,4,6.446,Konrad Perzyna,G3
Pisa,1999,3,5,6.283,G\\u00fcnter Burkhardt,Adlung-Spiele
Unlock! Doo-Arann Dungeon,2017,2,6,6.746,Yven Nogicatt,Asmodee
GridIron Master,2007,2,2,6.465,Paul Morin,PHI Sports Games
The Garden Game,1996,2,6,3.886,Amy Mook,Ampersand Press
Mad Science Foundation,2016,2,4,6.558,Sharang Biswas,Cryptozoic Entertainment
SHIBUYA,2017,2,4,6.63,\\u4f50\\u85e4 \\u96c4\\u4ecb (Yusuke Sato),Ediciones Primigenio
BrewMaster  The Craft Beer Game,2001,2,5,5.715,Mike White,Cold Creek Publishing Co.
Monopoly  Batman & Robin,1997,2,8,4.288,(Uncredited),Parker Brothers
All Quiet on the Western Front,1997,1,2,7.455,Ted Raicer,Critical Hit
Undo  Drowned Hopes,2019,2,4,5.221,Michael Palm,Pegasus Spiele
Witch's Brew,2008,3,5,7.034,Andreas Pelikan,alea
A Game of Thrones,2003,3,5,7.234,Christian T. Petersen,Fantasy Flight Games
Panda Head,2015,2,5,5.483,Aaron Weissblum,R&R Games
Age of War,2014,2,6,6.44,Reiner Knizia,Arclight
Moon Dragon,1997,2,4,7.0,Josh Friel,New Dimension Games (I)
Kitten Klash,2018,2,2,5.996,Alice Davis,Daily Magic Games
The Fishing Game,1994,1,6,3.25,(Uncredited),Anglepen-Jones & Co.
X Marks the Spot,2011,2,4,5.455,Mike Richie,Rather Dashing Games
Mr. Cabbagehead's Garden,2016,1,2,7.206,Todd Sanders,Air and Nothingness Press
Quiz  Iisen Ikima Show !,2008,3,10,6.335,Susumu Kawasaki,Arclight
Monopoly  Star Wars Limited Collector's Edition,1996,2,8,5.183,(Uncredited),Parker Brothers
Rummy 17,2016,2,6,5.851,Reiner Knizia,Piatnik
Clash of Steel,1984,2,2,5.713,Lou Coatney,3W (World Wide Wargames)
Manitou,1997,2,4,6.136,G\\u00fcnter Burkhardt,Goldsieber Spiele
Tumble Tree,2012,2,4,6.1,Josep M. Allu\\u00e9,999 Games
Walnut Grove,2011,1,4,6.988,Paul Laane,Lookout Games
Halli Galli Extreme,2005,2,6,5.768,Haim Shafir,999 Games
Garten-Zwerge e.V.,2004,2,6,5.765,Roman Mathar,Argentum Verlag
Dragonslayer,1981,2,4,5.351,Brad Hessel,SPI (Simulations Publications
Z First Impact  Opus 1 Chapter 1,2014,1,4,5.24,Herv\\u00e9 Sagnier,Z OR ALIVE CIE
Fauna,2008,2,6,7.044,Friedemann Friese,HUCH!
Mad Dash!,1991,2,2,5.379,(Uncredited),ITOS Enterprises
Wars of the Roses  Lancaster vs. York,2010,2,4,7.352,Peter Hawes,999 Games
Michael,2019,1,4,7.117,Laura Severino,Mancalamaro
Clue II  Murder in Disguise VCR Mystery Game,1987,2,6,6.032,Isabel Garrett,Parker Brothers
Qwordie,2015,2,8,5.808,Black Stories,Bananagrams
The Game of Life  Pirates of the Caribbean,2004,2,6,4.986,Reuben Klamer,Hasbro
Smoothies,2019,1,4,6.628,Israel Cendrero,Ludonova
Star Wars  Stolen Plans Card Game,2006,2,6,6.417,Matthew Meadows,(Web published)
7 Islands,2011,1,4,6.935,Hayato Kisaragi,One Draw
Dungeon Command  Tyranny of Goblins,2012,2,4,7.416,Chris Dupuis,Wizards of the Coast
Pagoda,2001,2,2,6.045,Luke Weisman Miratrix,Pair-of-Dice Games
Zaubercocktail,2001,4,7,5.643,Arnd Beenen,KOSMOS
Charioteer,2008,2,5,6.126,Steve Finn,Dr. Finns Games
The Lost Battalion  The Meuse-Argonne Offensive,2003,1,2,6.748,John Desch,Decision Games (I)
W\u00fcrfel Express,2009,2,6,5.571,Steffen Benndorf,Ravensburger Spieleverlag GmbH
Blocks in the West  The Limited Edition,2013,1,4,7.999,Emanuele Santandrea,VentoNuovo Games
Zong Shi,2012,3,5,6.529,Kevin G. Nunn,Eagle-Gryphon Games
4th Corner,2007,2,8,4.839,Mark Salzwedel,Strategic Space
Schlag den Raab  Das Quiz,2012,2,6,6.796,Max Kirps,Ravensburger Spieleverlag GmbH
Bobbidi Boom,2017,3,5,6.192,Guido Albini,Fever Games
