name,yearpublished,minplayers,maxplayers,rating,designer,publisher
Five Tribes  The Djinns of Naqala,2014,2,4,7.771,Bruno Cathala,Days of Wonder
Affentennis,2006,2,2,7.088,J\\u00fcrgen Kohl,Braunkohl Verlag
UNO  Spider-Man Special Edition Card Game,2002,2,10,5.292,Merle Robbins,Sababa Toys
Het Koninkrijk Dominion,2015,2,4,6.736,Donald X. Vaccarino,999 Games
China Rails,2007,2,6,7.093,Michael Dreiling,Mayfair Games
Gear & Piston,2013,2,6,5.821,Jukka H\\u00f6ysniemi,LudiCreations
Oh Snap!,1965,1,6,5.322,Frank W. Sinden,Action GT
How To Serve Man,2016,2,6,6.518,Joe Babbitt,Gateway Games
Via Romana,2008,2,4,6.345,Christian Fiore,Goldsieber Spiele
Cro-Magnon,2007,3,12,5.343,Fanny Cherpe,Bioviva
Terrace,1992,2,4,6.346,Anton Dresden,Herbko International
Shuffle Heroes,2015,2,2,6.572,Jan Van\\u011b\\u010dek,ADC Blackfire Entertainment
Goblin Dice,2015,2,6,5.697,Mikhail Bazylevich,FoxGames
Wolf & Hound,2016,2,4,6.368,Fukutarou,Ninja Star Games
Monster Derby,1994,2,10,6.135,Jeff Siadek,Gamesmiths
Rrib-Bit,1973,2,2,5.292,Adolphus Hankins,Copp Clark Publishing Company
Duo-Bridge,1978,2,2,6.5,Art Kaplan,AJE Enterprises
Rory's Story Cubes  \u015aredniowiecze,2016,1,99,7.021,Rory O\Connor,The Creativity Hub
Diaballik,2004,2,2,6.475,Philippe Lefrancois,1-2-3-Games u00c9ditions
Harzbahn 1873,2011,2,5,7.379,Klaus Kiermeier,(Self-Published)
Psyche-Paths,1968,1,4,6.603,Ea Ea,Funtastic
Wacht Am Rhein,2005,1,4,7.428,Joe Youst,Decision Games (I)
SET Junior,2012,2,4,5.609,Marsha J. Falco,999 Games
Market Mania,2001,2,5,4.5,Paul Sclafani,(Self-Published)
Horrific,2004,2,2,5.689,Edward Boudreaux,Laughing Pan Productions
The Kaiser's Pirates,2007,1,4,6.477,James M. Day,GMT Games
War Stories  Liberty Road,2014,1,2,7.115,Dirk Knemeyer,Conquistador Games
Sojourn,2019,1,1,6.525,Philip Loyer,Wyvern Gaming
Drakon (second edition),2002,2,6,6.198,Tom Jolly,Fantasy Flight Games
Fridericus Rex,1988,2,2,7.3,Jean du Po\\u00ebl,Historien Spiele Galerie (Historien Spielegalerie)
Jeopardy!,1964,3,5,5.263,(Uncredited),(Unknown)
Power Rangers  Heroes of the Grid,2019,2,5,8.335,Jonathan Ying,Renegade Game Studios
Zombicide,2012,1,6,7.187,Rapha\\u00ebl Guiton,CMON Limited
Rainbow,2010,2,6,5.775,Mito Sazuki,Grimpeur
ButaBabel,2016,3,5,5.683,\\u3086\\u304a (Yuo),u3053u3063u3061u5c4b (Kocchiya)
Mansions & Money,1992,2,4,4.0,(Uncredited),Masco Corporation
Breaking Away,1991,2,9,7.349,John Harrington,Fiendish Games
Shifting Realms,2018,2,4,7.197,Jeff Van Ness,Soaring Rhino
Pictomania (Second Edition),2018,3,6,7.633,Vlaada Chv\\u00e1til,Cranio Creations
District-Z,2014,1,8,6.088,George Rubio,(Self-Published)
Cephalopod,2006,2,2,5.674,Mark Steere,(Self-Published)
